%; Serdyuchenko et al. ozone absorption cross-section
%; temperature parameterisation
%;
%; Contact: Mark.Weber@uni-bremen.de%
%
%; formula:
%; sigma(T,lambda)=10^(-20)*a_0(lambda)*[1+a_1(lambda)*T+a_2(lambda)*T^2]
% 
%; lambda: wavelength in nm
%; T: temperature in degree Celsius
%; sigma: ozone cross section in cm^2
%; a_0, a_1, a_2: fit coefficients (quadratic polynomial)
%;
%; data format:
%; column 1: wavelength in vacuum = lambda [nm]
%; column 2: a_0
%; column 3: a_1
%; column 4: a_2
%;
%; NUMBER OF HEADER LINES: 20
 300.3700  3.621187e+001  1.349524e-003  5.146018e-006
 300.3800  3.615688e+001  1.588654e-003  8.274590e-006
 300.3900  3.652981e+001  1.019824e-003 -2.434761e-006
 300.4000  3.622621e+001  1.128592e-003 -1.501990e-006
 300.4100  3.617354e+001  1.255525e-003  2.958522e-006
 300.4200  3.643698e+001  9.643048e-004 -2.796904e-006
 300.4300  3.647643e+001  1.176084e-003 -1.807452e-006
 300.4400  3.621852e+001  1.327492e-003  3.953390e-006
 300.4500  3.590924e+001  1.738243e-003  1.012240e-005
 300.4600  3.611825e+001  1.235236e-003  2.474672e-006
 300.4700  3.588593e+001  1.911756e-003  1.233126e-005
 300.4800  3.576040e+001  1.581116e-003  6.337853e-006
 300.4900  3.599101e+001  1.570805e-003  6.922211e-006
 300.5000  3.598298e+001  1.078654e-003  4.697232e-008
 300.5100  3.582586e+001  1.180413e-003  2.341185e-006
 300.5200  3.583463e+001  1.495636e-003  7.203058e-006
 300.5300  3.573825e+001  1.390931e-003  4.659102e-006
 300.5400  3.591488e+001  1.254017e-003  3.286457e-006
 300.5500  3.567183e+001  1.689847e-003  1.048660e-005
 300.5600  3.566476e+001  1.845146e-003  1.247891e-005
 300.5700  3.548807e+001  1.445881e-003  9.440499e-006
 300.5800  3.576336e+001  1.203178e-003  1.107176e-006
 300.5900  3.578703e+001  1.738869e-003  5.268665e-006
 300.6000  3.552418e+001  1.598125e-003  6.552356e-006
 300.6100  3.536979e+001  1.477351e-003  7.434789e-006
 300.6200  3.543291e+001  1.407036e-003  7.097067e-006
 300.6300  3.530510e+001  1.210047e-003  5.043742e-006
 300.6400  3.516853e+001  1.518758e-003  4.590074e-006
 300.6500  3.518878e+001  1.642229e-003  5.707504e-006
 300.6600  3.513958e+001  1.310478e-003  4.325588e-006
 300.6700  3.490488e+001  1.410489e-003  4.425643e-006
 300.6800  3.510226e+001  1.181851e-003  1.209155e-006
 300.6900  3.509837e+001  1.138263e-003 -1.108455e-006
 300.7000  3.488769e+001  1.317909e-003  5.687579e-006
 300.7100  3.486086e+001  1.221650e-003  3.752535e-006
 300.7200  3.467576e+001  1.273959e-003  4.112893e-006
 300.7300  3.481885e+001  1.422095e-003  4.075463e-006
 300.7400  3.461019e+001  1.365610e-003  5.919383e-006
 300.7500  3.456162e+001  1.202584e-003  2.857200e-006
 300.7600  3.454770e+001  1.453471e-003  5.075630e-006
 300.7700  3.462962e+001  1.214158e-003  4.182532e-006
 300.7800  3.461230e+001  1.486631e-003  5.355386e-006
 300.7900  3.443730e+001  1.615173e-003  9.369767e-006
 300.8000  3.437395e+001  1.649037e-003  9.498659e-006
 300.8100  3.427346e+001  1.386398e-003  5.185903e-006
 300.8200  3.404242e+001  1.562978e-003  7.357060e-006
 300.8300  3.443184e+001  1.163163e-003 -5.407892e-007
 300.8400  3.419543e+001  1.407877e-003  6.926922e-006
 300.8500  3.416289e+001  1.581814e-003  7.259074e-006
 300.8600  3.413327e+001  1.210030e-003  4.164456e-006
 300.8700  3.412193e+001  1.396007e-003  2.743354e-006
 300.8800  3.422292e+001  1.650238e-003  6.999127e-006
 300.8900  3.407211e+001  1.564840e-003  8.923502e-006
 300.9000  3.378960e+001  1.529889e-003  8.012896e-006
 300.9100  3.393748e+001  1.689035e-003  1.082653e-005
 300.9200  3.390532e+001  1.269348e-003  7.718229e-006
 300.9300  3.386491e+001  1.558825e-003  7.627721e-006
 300.9400  3.373467e+001  1.402074e-003  5.881206e-006
 300.9500  3.375281e+001  1.250287e-003  2.243387e-006
 300.9600  3.364526e+001  1.869158e-003  1.023822e-005
 300.9700  3.366511e+001  1.721826e-003  7.628895e-006
 300.9800  3.331026e+001  1.624045e-003  8.129962e-006
 300.9900  3.319944e+001  1.751530e-003  9.566584e-006
 301.0000  3.310245e+001  1.678803e-003  7.453589e-006
 301.0100  3.313342e+001  1.527646e-003  4.788621e-006
 301.0200  3.310371e+001  1.832033e-003  9.028895e-006
 301.0300  3.294057e+001  1.571116e-003  5.921561e-006
 301.0400  3.312201e+001  1.424467e-003  2.324052e-006
 301.0500  3.287855e+001  1.597377e-003  5.465339e-006
 301.0600  3.293344e+001  1.553177e-003  7.917456e-006
 301.0700  3.295107e+001  1.852549e-003  7.061087e-006
 301.0800  3.255887e+001  2.132126e-003  9.915266e-006
 301.0900  3.266923e+001  2.019455e-003  1.037944e-005
 301.1000  3.269613e+001  1.507725e-003  1.848243e-006
 301.1100  3.265450e+001  1.465189e-003  3.470148e-006
 301.1200  3.241456e+001  1.621702e-003  4.600330e-006
 301.1300  3.259329e+001  1.552169e-003  4.013475e-006
 301.1400  3.233812e+001  1.648667e-003  5.850044e-006
 301.1500  3.211928e+001  1.557997e-003  8.574955e-006
 301.1600  3.242958e+001  1.624963e-003  3.307693e-006
 301.1700  3.232158e+001  1.557572e-003  2.910551e-006
 301.1800  3.202374e+001  1.693901e-003  8.527567e-006
 301.1900  3.213468e+001  1.829249e-003  7.752911e-006
 301.2000  3.193299e+001  1.707716e-003  6.750587e-006
 301.2100  3.178481e+001  1.943695e-003  9.481247e-006
 301.2200  3.183207e+001  1.715603e-003  6.918936e-006
 301.2300  3.153963e+001  1.063367e-003  2.152363e-006
 301.2400  3.161771e+001  8.811588e-004 -5.111622e-008
 301.2500  3.138601e+001  1.350970e-003  6.384188e-006
 301.2600  3.145972e+001  1.865349e-003  8.118264e-006
 301.2700  3.159953e+001  1.611375e-003  3.555624e-006
 301.2800  3.151699e+001  2.016448e-003  1.240398e-005
 301.2900  3.164503e+001  1.720039e-003  4.204260e-006
 301.3000  3.150512e+001  1.972223e-003  9.202232e-006
 301.3100  3.144104e+001  2.383897e-003  1.585858e-005
 301.3200  3.154862e+001  2.328302e-003  1.230915e-005
 301.3300  3.126370e+001  1.667797e-003  8.214305e-006
 301.3400  3.130981e+001  1.282569e-003  3.317547e-006
 301.3500  3.132150e+001  1.656827e-003  7.229447e-006
 301.3600  3.124584e+001  1.669156e-003  6.237312e-006
 301.3700  3.092685e+001  1.605027e-003  6.216653e-006
 301.3800  3.100711e+001  1.361816e-003  3.919000e-006
 301.3900  3.117288e+001  1.292170e-003  4.476170e-006
 301.4000  3.108023e+001  1.234855e-003  8.595817e-007
 301.4100  3.079134e+001  1.460822e-003  5.485938e-006
 301.4200  3.100152e+001  1.157612e-003  1.572434e-006
 301.4300  3.077537e+001  1.565711e-003  7.070266e-006
 301.4400  3.070510e+001  1.906539e-003  9.574982e-006
 301.4500  3.101658e+001  1.294482e-003  1.579618e-006
 301.4600  3.074554e+001  1.653690e-003  7.319294e-006
 301.4700  3.084241e+001  1.918073e-003  8.185789e-006
 301.4800  3.058523e+001  1.797474e-003  7.994302e-006
 301.4900  3.064197e+001  1.739807e-003  8.499791e-006
 301.5000  3.061675e+001  1.843414e-003  9.050619e-006
 301.5100  3.053020e+001  1.666446e-003  5.611913e-006
 301.5200  3.054142e+001  1.962860e-003  6.973564e-006
 301.5300  3.046844e+001  1.812151e-003  8.163126e-006
 301.5400  3.031341e+001  1.698304e-003  1.031764e-005
 301.5500  3.043032e+001  1.743573e-003  7.982913e-006
 301.5600  3.038359e+001  1.828048e-003  7.221680e-006
 301.5700  3.023960e+001  1.971586e-003  9.463045e-006
 301.5800  3.028613e+001  1.718683e-003  8.553849e-006
 301.5900  3.019591e+001  2.031246e-003  1.170990e-005
 301.6000  3.031107e+001  1.895860e-003  8.477602e-006
 301.6100  3.011811e+001  1.757592e-003  8.944655e-006
 301.6200  3.031128e+001  1.766362e-003  7.170421e-006
 301.6300  3.013866e+001  1.574470e-003  6.043452e-006
 301.6400  2.986043e+001  1.835430e-003  1.251616e-005
 301.6500  3.011491e+001  1.640011e-003  6.066252e-006
 301.6600  2.992036e+001  1.784259e-003  1.093258e-005
 301.6700  3.005624e+001  1.776402e-003  6.851161e-006
 301.6800  2.985521e+001  1.810540e-003  1.033185e-005
 301.6900  2.989648e+001  1.276480e-003  2.613067e-006
 301.7000  2.982687e+001  1.372545e-003  4.881827e-006
 301.7100  2.974908e+001  1.839202e-003  8.506906e-006
 301.7200  2.991187e+001  1.694389e-003  6.083043e-006
 301.7300  2.979614e+001  1.892684e-003  1.129851e-005
 301.7400  2.990448e+001  1.529888e-003  8.044145e-006
 301.7500  2.983139e+001  1.755990e-003  6.962019e-006
 301.7600  2.958533e+001  2.121143e-003  1.417055e-005
 301.7700  2.979096e+001  1.719321e-003  7.966532e-006
 301.7800  2.969087e+001  1.603453e-003  5.858135e-006
 301.7900  2.962947e+001  1.334793e-003  3.202784e-006
 301.8000  2.980067e+001  1.492759e-003  6.615917e-006
 301.8100  2.966943e+001  1.458339e-003  3.323233e-006
 301.8200  2.969652e+001  1.614782e-003  5.553161e-006
 301.8300  2.986308e+001  1.600700e-003  3.839824e-006
 301.8400  2.961331e+001  1.843327e-003  1.000145e-005
 301.8500  2.962733e+001  1.915141e-003  9.268911e-006
 301.8600  2.965833e+001  1.845120e-003  9.168820e-006
 301.8700  2.952041e+001  1.727927e-003  7.972170e-006
 301.8800  2.953085e+001  1.484837e-003  6.553890e-006
 301.8900  2.948747e+001  1.559103e-003  7.494247e-006
 301.9000  2.939380e+001  1.665566e-003  7.944088e-006
 301.9100  2.953439e+001  1.703133e-003  6.336066e-006
 301.9200  2.952445e+001  1.927336e-003  1.061139e-005
 301.9300  2.947978e+001  1.904890e-003  1.307986e-005
 301.9400  2.967128e+001  1.652830e-003  8.149279e-006
 301.9500  2.954689e+001  1.814989e-003  1.003723e-005
 301.9600  2.949401e+001  1.454184e-003  6.746113e-006
 301.9700  2.933494e+001  2.208373e-003  1.349886e-005
 301.9800  2.925394e+001  1.529396e-003  7.336789e-006
 301.9900  2.922922e+001  1.430709e-003  6.600011e-006
 302.0000  2.923525e+001  1.410028e-003  6.743777e-006
 302.0100  2.928169e+001  1.565395e-003  5.562507e-006
 302.0200  2.917801e+001  1.250695e-003  1.204910e-006
 302.0300  2.902187e+001  1.549410e-003  7.426922e-006
 302.0400  2.908621e+001  1.585958e-003  8.189654e-006
 302.0500  2.915746e+001  1.632166e-003  8.359757e-006
 302.0600  2.904599e+001  1.382953e-003  4.668875e-006
 302.0700  2.911855e+001  1.763331e-003  9.800582e-006
 302.0800  2.901792e+001  1.780618e-003  1.179836e-005
 302.0900  2.895944e+001  1.931730e-003  1.172192e-005
 302.1000  2.900208e+001  1.552734e-003  8.003911e-006
 302.1100  2.899864e+001  1.874304e-003  8.509809e-006
 302.1200  2.888974e+001  1.486192e-003  5.236184e-006
 302.1300  2.895346e+001  1.600337e-003  7.630257e-006
 302.1400  2.894869e+001  1.678403e-003  7.223543e-006
 302.1500  2.861353e+001  2.371036e-003  1.694312e-005
 302.1600  2.871527e+001  1.837615e-003  9.945607e-006
 302.1700  2.885515e+001  1.692475e-003  6.296639e-006
 302.1800  2.856091e+001  1.667655e-003  1.055083e-005
 302.1900  2.862864e+001  1.344916e-003  3.034877e-006
 302.2000  2.859969e+001  1.428696e-003  4.534982e-006
 302.2100  2.848523e+001  1.458696e-003  4.089054e-006
 302.2200  2.843384e+001  1.505272e-003  7.680879e-006
 302.2300  2.827691e+001  1.755902e-003  8.344369e-006
 302.2400  2.854419e+001  1.517766e-003  5.270817e-006
 302.2500  2.843078e+001  1.592091e-003  6.997365e-006
 302.2600  2.850295e+001  1.662685e-003  7.741996e-006
 302.2700  2.843206e+001  1.844002e-003  7.360463e-006
 302.2800  2.826158e+001  1.751614e-003  8.856450e-006
 302.2900  2.829015e+001  1.616968e-003  7.129025e-006
 302.3000  2.815727e+001  1.609132e-003  8.075355e-006
 302.3100  2.812870e+001  1.776816e-003  1.061650e-005
 302.3200  2.827016e+001  1.449524e-003  4.466584e-006
 302.3300  2.807169e+001  1.620932e-003  6.178260e-006
 302.3400  2.809132e+001  1.158183e-003  1.509642e-006
 302.3500  2.802692e+001  1.440519e-003  5.446308e-006
 302.3600  2.806480e+001  1.567858e-003  5.861279e-006
 302.3700  2.808589e+001  1.359660e-003  2.600101e-006
 302.3800  2.796844e+001  1.614400e-003  7.885492e-006
 302.3900  2.802527e+001  1.902981e-003  1.015329e-005
 302.4000  2.796638e+001  1.848310e-003  8.058081e-006
 302.4100  2.792760e+001  1.761474e-003  1.040841e-005
 302.4200  2.777409e+001  1.826769e-003  9.202168e-006
 302.4300  2.777904e+001  1.696335e-003  6.097061e-006
 302.4400  2.777952e+001  1.630853e-003  7.038640e-006
 302.4500  2.766684e+001  1.708086e-003  6.922235e-006
 302.4600  2.769719e+001  1.533493e-003  2.743380e-006
 302.4700  2.754347e+001  1.667540e-003  6.558296e-006
 302.4800  2.766410e+001  1.613794e-003  5.583082e-006
 302.4900  2.751788e+001  1.945765e-003  1.141952e-005
 302.5000  2.752942e+001  1.401644e-003  2.115473e-006
 302.5100  2.724178e+001  1.530918e-003  5.839540e-006
 302.5200  2.740272e+001  1.516768e-003  4.525947e-006
 302.5300  2.719601e+001  1.952224e-003  1.101654e-005
 302.5400  2.727633e+001  1.527830e-003  3.724296e-006
 302.5500  2.725987e+001  1.725002e-003  5.372441e-006
 302.5600  2.720292e+001  1.732106e-003  6.415696e-006
 302.5700  2.720747e+001  2.088047e-003  1.148900e-005
 302.5800  2.705371e+001  1.799786e-003  7.600764e-006
 302.5900  2.698765e+001  1.600145e-003  4.722572e-006
 302.6000  2.700314e+001  1.956694e-003  9.278445e-006
 302.6100  2.698048e+001  1.794949e-003  7.059052e-006
 302.6200  2.695866e+001  1.616734e-003  4.353815e-006
 302.6300  2.681672e+001  1.999892e-003  1.140130e-005
 302.6400  2.675866e+001  1.495140e-003  5.198270e-006
 302.6500  2.666248e+001  1.614011e-003  4.602566e-006
 302.6600  2.671470e+001  1.685760e-003  6.910760e-006
 302.6700  2.665750e+001  1.789422e-003  7.432107e-006
 302.6800  2.660541e+001  1.672177e-003  5.986466e-006
 302.6900  2.659888e+001  2.220289e-003  1.119303e-005
 302.7000  2.654000e+001  1.913048e-003  8.579910e-006
 302.7100  2.651336e+001  1.929449e-003  9.795148e-006
 302.7200  2.646199e+001  1.874816e-003  8.967529e-006
 302.7300  2.643988e+001  2.218826e-003  1.370579e-005
 302.7400  2.640944e+001  1.684914e-003  5.134041e-006
 302.7500  2.623761e+001  1.941165e-003  1.050282e-005
 302.7600  2.625164e+001  1.928385e-003  6.985338e-006
 302.7700  2.640371e+001  1.864074e-003  7.469233e-006
 302.7800  2.597230e+001  1.988553e-003  1.063303e-005
 302.7900  2.602466e+001  2.134869e-003  1.262719e-005
 302.8000  2.603585e+001  1.818681e-003  7.154778e-006
 302.8100  2.598876e+001  2.028449e-003  1.062182e-005
 302.8200  2.591439e+001  1.566106e-003  5.275151e-006
 302.8300  2.611378e+001  2.015169e-003  8.847238e-006
 302.8400  2.576282e+001  1.820226e-003  8.938158e-006
 302.8500  2.583533e+001  1.910853e-003  7.237886e-006
 302.8600  2.577456e+001  2.132739e-003  1.316170e-005
 302.8700  2.556931e+001  1.987771e-003  1.012097e-005
 302.8800  2.560564e+001  1.847138e-003  6.304624e-006
 302.8900  2.547594e+001  1.752591e-003  6.490143e-006
 302.9000  2.548125e+001  1.726573e-003  6.649862e-006
 302.9100  2.540114e+001  1.797498e-003  8.629228e-006
 302.9200  2.541179e+001  1.834092e-003  6.333632e-006
 302.9300  2.535356e+001  2.058397e-003  9.830017e-006
 302.9400  2.529947e+001  1.943666e-003  8.954459e-006
 302.9500  2.533621e+001  2.216139e-003  1.135816e-005
 302.9600  2.539808e+001  2.234228e-003  1.137705e-005
 302.9700  2.523685e+001  2.228111e-003  1.095215e-005
 302.9800  2.527594e+001  1.780504e-003  4.535180e-006
 302.9900  2.513047e+001  2.023316e-003  1.043692e-005
 303.0000  2.499737e+001  1.943402e-003  8.307106e-006
 303.0100  2.494883e+001  1.847713e-003  6.062992e-006
 303.0200  2.482339e+001  1.713819e-003  5.407569e-006
 303.0300  2.482540e+001  1.859179e-003  7.227103e-006
 303.0400  2.481281e+001  1.807758e-003  6.721677e-006
 303.0500  2.484551e+001  1.978631e-003  7.335382e-006
 303.0600  2.481119e+001  1.879992e-003  6.917860e-006
 303.0700  2.473249e+001  1.714807e-003  4.848385e-006
 303.0800  2.472003e+001  1.767569e-003  3.754776e-006
 303.0900  2.475027e+001  1.601108e-003  4.902647e-007
 303.1000  2.466581e+001  1.970058e-003  7.147241e-006
 303.1100  2.455564e+001  2.067130e-003  1.052813e-005
 303.1200  2.446647e+001  1.899168e-003  7.571876e-006
 303.1300  2.460739e+001  2.087555e-003  8.091431e-006
 303.1400  2.427203e+001  1.673685e-003  7.397704e-006
 303.1500  2.421142e+001  1.748808e-003  7.115923e-006
 303.1600  2.425760e+001  1.680129e-003  5.319938e-006
 303.1700  2.410755e+001  1.845774e-003  1.043788e-005
 303.1800  2.415027e+001  1.734878e-003  5.896941e-006
 303.1900  2.401354e+001  1.784576e-003  7.269899e-006
 303.2000  2.408285e+001  1.874852e-003  8.177584e-006
 303.2100  2.408348e+001  1.740390e-003  7.128392e-006
 303.2200  2.408219e+001  1.843069e-003  6.920240e-006
 303.2300  2.409137e+001  1.658236e-003  4.728037e-006
 303.2400  2.399958e+001  1.661889e-003  4.075520e-006
 303.2500  2.405615e+001  1.679172e-003  3.505638e-006
 303.2600  2.391308e+001  1.732146e-003  6.486002e-006
 303.2700  2.398978e+001  1.856054e-003  7.102937e-006
 303.2800  2.415287e+001  2.093240e-003  1.039834e-005
 303.2900  2.391873e+001  2.149826e-003  1.156440e-005
 303.3000  2.394081e+001  2.055970e-003  9.157519e-006
 303.3100  2.388270e+001  2.035342e-003  9.904880e-006
 303.3200  2.388019e+001  1.955826e-003  8.234555e-006
 303.3300  2.382247e+001  1.897594e-003  5.484919e-006
 303.3400  2.381955e+001  1.534179e-003  1.780628e-006
 303.3500  2.368006e+001  1.557871e-003  3.494410e-006
 303.3600  2.352091e+001  1.610115e-003  5.907633e-006
 303.3700  2.366800e+001  1.463373e-003  9.482011e-007
 303.3800  2.364481e+001  1.760889e-003  6.847995e-006
 303.3900  2.362062e+001  1.899576e-003  8.744367e-006
 303.4000  2.368492e+001  2.002138e-003  8.548616e-006
 303.4100  2.362272e+001  2.041121e-003  1.096951e-005
 303.4200  2.374676e+001  2.192340e-003  1.126719e-005
 303.4300  2.366972e+001  2.094663e-003  9.937117e-006
 303.4400  2.360716e+001  2.075359e-003  1.006958e-005
 303.4500  2.352813e+001  1.996530e-003  1.076131e-005
 303.4600  2.334570e+001  1.863690e-003  1.019469e-005
 303.4700  2.333489e+001  1.940022e-003  1.043163e-005
 303.4800  2.336367e+001  1.773574e-003  8.393210e-006
 303.4900  2.350917e+001  1.793405e-003  7.297261e-006
 303.5000  2.337839e+001  2.011809e-003  1.133764e-005
 303.5100  2.336722e+001  1.817143e-003  7.346269e-006
 303.5200  2.323505e+001  1.942492e-003  9.478347e-006
 303.5300  2.325064e+001  1.630745e-003  5.313854e-006
 303.5400  2.327853e+001  1.723151e-003  4.902397e-006
 303.5500  2.311727e+001  1.825953e-003  7.120675e-006
 303.5600  2.322921e+001  1.764260e-003  7.129573e-006
 303.5700  2.315826e+001  1.883929e-003  7.943793e-006
 303.5800  2.318581e+001  1.786819e-003  7.116384e-006
 303.5900  2.308170e+001  1.766125e-003  5.562834e-006
 303.6000  2.310603e+001  1.990337e-003  1.015469e-005
 303.6100  2.314029e+001  1.681841e-003  5.330058e-006
 303.6200  2.316175e+001  2.111541e-003  9.186250e-006
 303.6300  2.312659e+001  1.902111e-003  1.072389e-005
 303.6400  2.311272e+001  1.979873e-003  8.724830e-006
 303.6500  2.301086e+001  1.846262e-003  7.669617e-006
 303.6600  2.299809e+001  1.887812e-003  8.757749e-006
 303.6700  2.303687e+001  1.650660e-003  4.491468e-006
 303.6800  2.292101e+001  1.913783e-003  9.003571e-006
 303.6900  2.297243e+001  1.780304e-003  3.605151e-006
 303.7000  2.294788e+001  1.996495e-003  1.055682e-005
 303.7100  2.288887e+001  1.864985e-003  8.901768e-006
 303.7200  2.281849e+001  1.941304e-003  9.677043e-006
 303.7300  2.281748e+001  1.709864e-003  4.830674e-006
 303.7400  2.274637e+001  1.613403e-003  5.473959e-006
 303.7500  2.266393e+001  1.398939e-003  4.149415e-006
 303.7600  2.268815e+001  1.698276e-003  5.633121e-006
 303.7700  2.260066e+001  1.581953e-003  6.315308e-006
 303.7800  2.271454e+001  1.793381e-003  7.280132e-006
 303.7900  2.283255e+001  1.548208e-003  3.715387e-006
 303.8000  2.272335e+001  1.760555e-003  8.247349e-006
 303.8100  2.275698e+001  1.968258e-003  9.417735e-006
 303.8200  2.267410e+001  1.782797e-003  6.881806e-006
 303.8300  2.267414e+001  2.059044e-003  1.030111e-005
 303.8400  2.267533e+001  1.862871e-003  9.562293e-006
 303.8500  2.266491e+001  1.855231e-003  8.010110e-006
 303.8600  2.260494e+001  2.044964e-003  1.278123e-005
 303.8700  2.270286e+001  1.855196e-003  8.395565e-006
 303.8800  2.263482e+001  1.717863e-003  6.313102e-006
 303.8900  2.262092e+001  1.579124e-003  4.737725e-006
 303.9000  2.263440e+001  2.029259e-003  1.095584e-005
 303.9100  2.256442e+001  2.241625e-003  1.562867e-005
 303.9200  2.259227e+001  1.980993e-003  1.083557e-005
 303.9300  2.255441e+001  1.864242e-003  9.884772e-006
 303.9400  2.264024e+001  1.807194e-003  8.395734e-006
 303.9500  2.247901e+001  1.572230e-003  6.919398e-006
 303.9600  2.256966e+001  1.706598e-003  6.568052e-006
 303.9700  2.250693e+001  1.509521e-003  5.951279e-006
 303.9800  2.249740e+001  1.364785e-003  2.965251e-006
 303.9900  2.245567e+001  1.641088e-003  8.513622e-006
 304.0000  2.266258e+001  1.348868e-003  4.051019e-006
 304.0100  2.264872e+001  1.659238e-003  6.573835e-006
 304.0200  2.261314e+001  1.569309e-003  6.035717e-006
 304.0300  2.245652e+001  1.748446e-003  1.129205e-005
 304.0400  2.260121e+001  1.637016e-003  6.489151e-006
 304.0500  2.260327e+001  1.736959e-003  8.133987e-006
 304.0600  2.271106e+001  1.790076e-003  6.552343e-006
 304.0700  2.265383e+001  1.904359e-003  7.650790e-006
 304.0800  2.254604e+001  1.813258e-003  8.997510e-006
 304.0900  2.255202e+001  1.959743e-003  9.647204e-006
 304.1000  2.244684e+001  1.848513e-003  9.919231e-006
 304.1100  2.255365e+001  1.775188e-003  6.902109e-006
 304.1200  2.252292e+001  1.908288e-003  9.773110e-006
 304.1300  2.229784e+001  1.941182e-003  1.203242e-005
 304.1400  2.227664e+001  1.755137e-003  9.391162e-006
 304.1500  2.224756e+001  1.655797e-003  6.851993e-006
 304.1600  2.229247e+001  1.888428e-003  1.077974e-005
 304.1700  2.245397e+001  1.755772e-003  4.904090e-006
 304.1800  2.210079e+001  1.741692e-003  9.744600e-006
 304.1900  2.218846e+001  1.438112e-003  3.783048e-006
 304.2000  2.206345e+001  1.863744e-003  9.948526e-006
 304.2100  2.203965e+001  1.638670e-003  5.810823e-006
 304.2200  2.216323e+001  1.849251e-003  7.947718e-006
 304.2300  2.210545e+001  1.672688e-003  5.565367e-006
 304.2400  2.192170e+001  1.690689e-003  8.830399e-006
 304.2500  2.195611e+001  1.784932e-003  8.714728e-006
 304.2600  2.184231e+001  2.004528e-003  1.142024e-005
 304.2700  2.194303e+001  1.712391e-003  6.842249e-006
 304.2800  2.174511e+001  1.836922e-003  9.911508e-006
 304.2900  2.174112e+001  1.780878e-003  1.052357e-005
 304.3000  2.183375e+001  1.695230e-003  6.304638e-006
 304.3100  2.181190e+001  1.938127e-003  9.731480e-006
 304.3200  2.181424e+001  1.849269e-003  5.943150e-006
 304.3300  2.174422e+001  2.191030e-003  1.237899e-005
 304.3400  2.167735e+001  2.114887e-003  1.244405e-005
 304.3500  2.165854e+001  2.042582e-003  9.803616e-006
 304.3600  2.154650e+001  1.875939e-003  8.620548e-006
 304.3700  2.155928e+001  1.937344e-003  8.320732e-006
 304.3800  2.156147e+001  1.897556e-003  8.217729e-006
 304.3900  2.139331e+001  2.084595e-003  1.200513e-005
 304.4000  2.154397e+001  2.073015e-003  1.096270e-005
 304.4100  2.148767e+001  2.167798e-003  1.245462e-005
 304.4200  2.133848e+001  2.034447e-003  1.104163e-005
 304.4300  2.143157e+001  2.031913e-003  9.317939e-006
 304.4400  2.126336e+001  1.984660e-003  7.746349e-006
 304.4500  2.134859e+001  2.140690e-003  1.041441e-005
